edge(s104t3word53,V2)	-edge(s104t3word53,s104t1word355)	+edge(s104t3word53,s104t2word682)	-edge(s104t3word53,s104t4word43)	-edge(s104t3word53,s104t5word683)	-edge(s104t3word53,s104t6word5)
edge(s104t4word43,V2)	-edge(s104t4word43,s104t1word355)	-edge(s104t4word43,s104t2word682)	-edge(s104t4word43,s104t3word53)	+edge(s104t4word43,s104t5word683)	-edge(s104t4word43,s104t6word5)	-edge(s104t4word43,s104t7word102)	-edge(s104t4word43,s104t8word62)	-edge(s104t4word43,s104t9word63)
edge(s122t5word349,V2)	-edge(s122t5word349,s122t2word6)	-edge(s122t5word349,s122t3word29)	-edge(s122t5word349,s122t4word30)	+edge(s122t5word349,s122t6word86)	-edge(s122t5word349,s122t7word227)	-edge(s122t5word349,s122t8word43)	-edge(s122t5word349,s122t9word756)	-edge(s122t5word349,s122t10word757)
edge(s122t6word86,V2)	-edge(s122t6word86,s122t7word227)	-edge(s122t6word86,s122t8word43)	-edge(s122t6word86,s122t9word756)	+edge(s122t6word86,s122t10word757)	-edge(s122t6word86,s122t11word5)	-edge(s122t6word86,s122t12word12)
edge(s122t7word227,V2)	-edge(s122t7word227,s122t2word6)	-edge(s122t7word227,s122t3word29)	-edge(s122t7word227,s122t4word30)	-edge(s122t7word227,s122t5word349)	+edge(s122t7word227,s122t6word86)	-edge(s122t7word227,s122t8word43)	-edge(s122t7word227,s122t9word756)	-edge(s122t7word227,s122t10word757)
edge(s122t8word43,V2)	-edge(s122t8word43,s122t3word29)	-edge(s122t8word43,s122t4word30)	-edge(s122t8word43,s122t5word349)	-edge(s122t8word43,s122t6word86)	+edge(s122t8word43,s122t7word227)	-edge(s122t8word43,s122t9word756)	-edge(s122t8word43,s122t10word757)	-edge(s122t8word43,s122t11word5)
edge(s122t9word756,V2)	-edge(s122t9word756,s122t6word86)	-edge(s122t9word756,s122t7word227)	-edge(s122t9word756,s122t8word43)	+edge(s122t9word756,s122t10word757)	-edge(s122t9word756,s122t11word5)	-edge(s122t9word756,s122t12word12)
edge(s122t10word757,V2)	-edge(s122t10word757,s122t7word227)	-edge(s122t10word757,s122t8word43)	-edge(s122t10word757,s122t9word756)	+edge(s122t10word757,s122t11word5)	-edge(s122t10word757,s122t12word12)
edge(s122t11word5,V2)	-edge(s122t11word5,s122t8word43)	-edge(s122t11word5,s122t9word756)	-edge(s122t11word5,s122t10word757)	+edge(s122t11word5,s122t12word12)
edge(s122t12word12,V2)	-edge(s122t12word12,s122t1word95)	+edge(s122t12word12,s122t2word6)	-edge(s122t12word12,s122t3word29)	-edge(s122t12word12,s122t4word30)	-edge(s122t12word12,s122t5word349)	-edge(s122t12word12,s122t6word86)
edge(s123t1word588,V2)	+edge(s123t1word588,s123t2word95)	-edge(s123t1word588,s123t3word254)	-edge(s123t1word588,s123t4word498)	-edge(s123t1word588,s123t5word225)	-edge(s123t1word588,s123t6word645)
edge(s123t2word95,V2)	+edge(s123t2word95,s123t0root)	-edge(s123t2word95,s123t1word588)	-edge(s123t2word95,s123t3word254)	-edge(s123t2word95,s123t4word498)
edge(s123t3word254,V2)	-edge(s123t3word254,s123t1word588)	+edge(s123t3word254,s123t2word95)	-edge(s123t3word254,s123t4word498)	-edge(s123t3word254,s123t5word225)	-edge(s123t3word254,s123t6word645)
edge(s123t4word498,V2)	-edge(s123t4word498,s123t1word588)	-edge(s123t4word498,s123t2word95)	+edge(s123t4word498,s123t3word254)	-edge(s123t4word498,s123t5word225)	-edge(s123t4word498,s123t6word645)	-edge(s123t4word498,s123t7word758)
edge(s123t5word225,V2)	-edge(s123t5word225,s123t2word95)	-edge(s123t5word225,s123t3word254)	-edge(s123t5word225,s123t4word498)	+edge(s123t5word225,s123t6word645)	-edge(s123t5word225,s123t7word758)	-edge(s123t5word225,s123t8word759)	-edge(s123t5word225,s123t9word10)	-edge(s123t5word225,s123t10word5)
edge(s123t6word645,V2)	-edge(s123t6word645,s123t1word588)	+edge(s123t6word645,s123t2word95)	-edge(s123t6word645,s123t3word254)	-edge(s123t6word645,s123t4word498)	-edge(s123t6word645,s123t5word225)
edge(s123t7word758,V2)	-edge(s123t7word758,s123t4word498)	-edge(s123t7word758,s123t5word225)	-edge(s123t7word758,s123t6word645)	+edge(s123t7word758,s123t8word759)	-edge(s123t7word758,s123t9word10)	-edge(s123t7word758,s123t10word5)	-edge(s123t7word758,s123t11word644)
edge(s123t8word759,V2)	-edge(s123t8word759,s123t1word588)	+edge(s123t8word759,s123t2word95)	-edge(s123t8word759,s123t3word254)	-edge(s123t8word759,s123t4word498)	-edge(s123t8word759,s123t5word225)	-edge(s123t8word759,s123t6word645)
edge(s123t9word10,V2)	-edge(s123t9word10,s123t6word645)	-edge(s123t9word10,s123t7word758)	-edge(s123t9word10,s123t8word759)	+edge(s123t9word10,s123t10word5)	-edge(s123t9word10,s123t11word644)
edge(s123t10word5,V2)	-edge(s123t10word5,s123t7word758)	-edge(s123t10word5,s123t8word759)	-edge(s123t10word5,s123t9word10)	+edge(s123t10word5,s123t11word644)
edge(s123t11word644,V2)	-edge(s123t11word644,s123t4word498)	-edge(s123t11word644,s123t5word225)	-edge(s123t11word644,s123t6word645)	-edge(s123t11word644,s123t7word758)	+edge(s123t11word644,s123t8word759)	-edge(s123t11word644,s123t9word10)	-edge(s123t11word644,s123t10word5)
edge(s124t1word57,V2)	-edge(s124t1word57,s124t2word58)	-edge(s124t1word57,s124t3word59)	+edge(s124t1word57,s124t4word26)	-edge(s124t1word57,s124t5word8)	-edge(s124t1word57,s124t6word102)	-edge(s124t1word57,s124t7word29)	-edge(s124t1word57,s124t8word249)
edge(s124t2word58,V2)	-edge(s124t2word58,s124t1word57)	+edge(s124t2word58,s124t3word59)	-edge(s124t2word58,s124t4word26)	-edge(s124t2word58,s124t5word8)	-edge(s124t2word58,s124t6word102)	-edge(s124t2word58,s124t7word29)
edge(s124t3word59,V2)	+edge(s124t3word59,s124t1word57)	-edge(s124t3word59,s124t2word58)	-edge(s124t3word59,s124t4word26)	-edge(s124t3word59,s124t5word8)
edge(s124t4word26,V2)	-edge(s124t4word26,s124t1word57)	-edge(s124t4word26,s124t2word58)	-edge(s124t4word26,s124t3word59)	+edge(s124t4word26,s124t5word8)	-edge(s124t4word26,s124t6word102)	-edge(s124t4word26,s124t7word29)	-edge(s124t4word26,s124t8word249)	-edge(s124t4word26,s124t9word263)
edge(s124t5word8,V2)	-edge(s124t5word8,s124t10word174)	-edge(s124t5word8,s124t11word21)	-edge(s124t5word8,s124t12word27)	-edge(s124t5word8,s124t13word760)	+edge(s124t5word8,s124t14word115)	-edge(s124t5word8,s124t15word102)	-edge(s124t5word8,s124t16word29)	-edge(s124t5word8,s124t17word249)	-edge(s124t5word8,s124t18word760)
edge(s124t6word102,V2)	-edge(s124t6word102,s124t3word59)	-edge(s124t6word102,s124t4word26)	-edge(s124t6word102,s124t5word8)	+edge(s124t6word102,s124t7word29)	-edge(s124t6word102,s124t8word249)	-edge(s124t6word102,s124t9word263)	-edge(s124t6word102,s124t10word174)	-edge(s124t6word102,s124t11word21)
edge(s124t7word29,V2)	-edge(s124t7word29,s124t4word26)	-edge(s124t7word29,s124t5word8)	-edge(s124t7word29,s124t6word102)	+edge(s124t7word29,s124t8word249)	-edge(s124t7word29,s124t9word263)	-edge(s124t7word29,s124t10word174)	-edge(s124t7word29,s124t11word21)	-edge(s124t7word29,s124t12word27)
edge(s124t8word249,V2)	-edge(s124t8word249,s124t5word8)	-edge(s124t8word249,s124t6word102)	-edge(s124t8word249,s124t7word29)	+edge(s124t8word249,s124t9word263)	-edge(s124t8word249,s124t10word174)	-edge(s124t8word249,s124t11word21)	-edge(s124t8word249,s124t12word27)	-edge(s124t8word249,s124t13word760)
edge(s124t9word263,V2)	-edge(s124t9word263,s124t6word102)	-edge(s124t9word263,s124t7word29)	-edge(s124t9word263,s124t8word249)	+edge(s124t9word263,s124t10word174)	-edge(s124t9word263,s124t11word21)	-edge(s124t9word263,s124t12word27)	-edge(s124t9word263,s124t13word760)	-edge(s124t9word263,s124t14word115)
edge(s124t10word174,V2)	-edge(s124t10word174,s124t7word29)	-edge(s124t10word174,s124t8word249)	-edge(s124t10word174,s124t9word263)	+edge(s124t10word174,s124t11word21)	-edge(s124t10word174,s124t12word27)	-edge(s124t10word174,s124t13word760)	-edge(s124t10word174,s124t14word115)	-edge(s124t10word174,s124t15word102)
edge(s124t11word21,V2)	-edge(s124t11word21,s124t8word249)	-edge(s124t11word21,s124t9word263)	-edge(s124t11word21,s124t10word174)	+edge(s124t11word21,s124t12word27)	-edge(s124t11word21,s124t13word760)	-edge(s124t11word21,s124t14word115)	-edge(s124t11word21,s124t15word102)	-edge(s124t11word21,s124t16word29)
edge(s124t12word27,V2)	-edge(s124t12word27,s124t1word57)	-edge(s124t12word27,s124t2word58)	-edge(s124t12word27,s124t3word59)	-edge(s124t12word27,s124t4word26)	+edge(s124t12word27,s124t5word8)	-edge(s124t12word27,s124t6word102)	-edge(s124t12word27,s124t7word29)	-edge(s124t12word27,s124t8word249)	-edge(s124t12word27,s124t9word263)
edge(s124t13word760,V2)	-edge(s124t13word760,s124t8word249)	-edge(s124t13word760,s124t9word263)	-edge(s124t13word760,s124t10word174)	-edge(s124t13word760,s124t11word21)	+edge(s124t13word760,s124t12word27)	-edge(s124t13word760,s124t14word115)	-edge(s124t13word760,s124t15word102)	-edge(s124t13word760,s124t16word29)
edge(s124t14word115,V2)	-edge(s124t14word115,s124t18word760)	-edge(s124t14word115,s124t19word174)	-edge(s124t14word115,s124t20word672)	-edge(s124t14word115,s124t21word263)	+edge(s124t14word115,s124t22word110)	-edge(s124t14word115,s124t23word8)	-edge(s124t14word115,s124t24word29)	-edge(s124t14word115,s124t25word30)	-edge(s124t14word115,s124t26word761)
edge(s124t15word102,V2)	-edge(s124t15word102,s124t12word27)	-edge(s124t15word102,s124t13word760)	-edge(s124t15word102,s124t14word115)	+edge(s124t15word102,s124t16word29)	-edge(s124t15word102,s124t17word249)	-edge(s124t15word102,s124t18word760)	-edge(s124t15word102,s124t19word174)	-edge(s124t15word102,s124t20word672)
edge(s124t16word29,V2)	-edge(s124t16word29,s124t13word760)	-edge(s124t16word29,s124t14word115)	-edge(s124t16word29,s124t15word102)	+edge(s124t16word29,s124t17word249)	-edge(s124t16word29,s124t18word760)	-edge(s124t16word29,s124t19word174)	-edge(s124t16word29,s124t20word672)	-edge(s124t16word29,s124t21word263)
edge(s124t17word249,V2)	-edge(s124t17word249,s124t14word115)	-edge(s124t17word249,s124t15word102)	-edge(s124t17word249,s124t16word29)	+edge(s124t17word249,s124t18word760)	-edge(s124t17word249,s124t19word174)	-edge(s124t17word249,s124t20word672)	-edge(s124t17word249,s124t21word263)	-edge(s124t17word249,s124t22word110)
edge(s124t18word760,V2)	-edge(s124t18word760,s124t15word102)	-edge(s124t18word760,s124t16word29)	-edge(s124t18word760,s124t17word249)	+edge(s124t18word760,s124t19word174)	-edge(s124t18word760,s124t20word672)	-edge(s124t18word760,s124t21word263)	-edge(s124t18word760,s124t22word110)	-edge(s124t18word760,s124t23word8)
edge(s124t19word174,V2)	-edge(s124t19word174,s124t16word29)	-edge(s124t19word174,s124t17word249)	-edge(s124t19word174,s124t18word760)	+edge(s124t19word174,s124t20word672)	-edge(s124t19word174,s124t21word263)	-edge(s124t19word174,s124t22word110)	-edge(s124t19word174,s124t23word8)	-edge(s124t19word174,s124t24word29)
edge(s124t20word672,V2)	-edge(s124t20word672,s124t17word249)	-edge(s124t20word672,s124t18word760)	-edge(s124t20word672,s124t19word174)	+edge(s124t20word672,s124t21word263)	-edge(s124t20word672,s124t22word110)	-edge(s124t20word672,s124t23word8)	-edge(s124t20word672,s124t24word29)	-edge(s124t20word672,s124t25word30)
edge(s124t21word263,V2)	-edge(s124t21word263,s124t10word174)	-edge(s124t21word263,s124t11word21)	-edge(s124t21word263,s124t12word27)	-edge(s124t21word263,s124t13word760)	+edge(s124t21word263,s124t14word115)	-edge(s124t21word263,s124t15word102)	-edge(s124t21word263,s124t16word29)	-edge(s124t21word263,s124t17word249)	-edge(s124t21word263,s124t18word760)
edge(s124t22word110,V2)	-edge(s124t22word110,s124t19word174)	-edge(s124t22word110,s124t20word672)	-edge(s124t22word110,s124t21word263)	+edge(s124t22word110,s124t23word8)	-edge(s124t22word110,s124t24word29)	-edge(s124t22word110,s124t25word30)	-edge(s124t22word110,s124t26word761)	-edge(s124t22word110,s124t27word5)
edge(s124t23word8,V2)	+edge(s124t23word8,s124t0root)	-edge(s124t23word8,s124t1word57)	-edge(s124t23word8,s124t2word58)	-edge(s124t23word8,s124t3word59)	-edge(s124t23word8,s124t4word26)
edge(s124t24word29,V2)	-edge(s124t24word29,s124t21word263)	-edge(s124t24word29,s124t22word110)	-edge(s124t24word29,s124t23word8)	+edge(s124t24word29,s124t25word30)	-edge(s124t24word29,s124t26word761)	-edge(s124t24word29,s124t27word5)	-edge(s124t24word29,s124t28word762)	-edge(s124t24word29,s124t29word5)
edge(s124t25word30,V2)	-edge(s124t25word30,s124t22word110)	-edge(s124t25word30,s124t23word8)	-edge(s124t25word30,s124t24word29)	+edge(s124t25word30,s124t26word761)	-edge(s124t25word30,s124t27word5)	-edge(s124t25word30,s124t28word762)	-edge(s124t25word30,s124t29word5)	-edge(s124t25word30,s124t30word763)
edge(s124t26word761,V2)	-edge(s124t26word761,s124t23word8)	-edge(s124t26word761,s124t24word29)	-edge(s124t26word761,s124t25word30)	+edge(s124t26word761,s124t27word5)	-edge(s124t26word761,s124t28word762)	-edge(s124t26word761,s124t29word5)	-edge(s124t26word761,s124t30word763)
edge(s124t27word5,V2)	-edge(s124t27word5,s124t24word29)	-edge(s124t27word5,s124t25word30)	-edge(s124t27word5,s124t26word761)	+edge(s124t27word5,s124t28word762)	-edge(s124t27word5,s124t29word5)	-edge(s124t27word5,s124t30word763)
edge(s124t28word762,V2)	-edge(s124t28word762,s124t25word30)	-edge(s124t28word762,s124t26word761)	-edge(s124t28word762,s124t27word5)	+edge(s124t28word762,s124t29word5)	-edge(s124t28word762,s124t30word763)
edge(s124t29word5,V2)	-edge(s124t29word5,s124t26word761)	-edge(s124t29word5,s124t27word5)	-edge(s124t29word5,s124t28word762)	+edge(s124t29word5,s124t30word763)
edge(s124t30word763,V2)	-edge(s124t30word763,s124t19word174)	-edge(s124t30word763,s124t20word672)	-edge(s124t30word763,s124t21word263)	-edge(s124t30word763,s124t22word110)	+edge(s124t30word763,s124t23word8)	-edge(s124t30word763,s124t24word29)	-edge(s124t30word763,s124t25word30)	-edge(s124t30word763,s124t26word761)	-edge(s124t30word763,s124t27word5)
edge(s125t1word764,V2)	+edge(s125t1word764,s125t2word765)	-edge(s125t1word764,s125t3word17)	-edge(s125t1word764,s125t4word766)	-edge(s125t1word764,s125t5word13)	-edge(s125t1word764,s125t6word29)
edge(s125t2word765,V2)	-edge(s125t2word765,s125t1word764)	+edge(s125t2word765,s125t3word17)	-edge(s125t2word765,s125t4word766)	-edge(s125t2word765,s125t5word13)	-edge(s125t2word765,s125t6word29)	-edge(s125t2word765,s125t7word30)
edge(s125t3word17,V2)	-edge(s125t3word17,s125t1word764)	-edge(s125t3word17,s125t2word765)	+edge(s125t3word17,s125t4word766)	-edge(s125t3word17,s125t5word13)	-edge(s125t3word17,s125t6word29)	-edge(s125t3word17,s125t7word30)	-edge(s125t3word17,s125t8word538)
edge(s125t4word766,V2)	-edge(s125t4word766,s125t1word764)	-edge(s125t4word766,s125t2word765)	-edge(s125t4word766,s125t3word17)	+edge(s125t4word766,s125t5word13)	-edge(s125t4word766,s125t6word29)	-edge(s125t4word766,s125t7word30)	-edge(s125t4word766,s125t8word538)	-edge(s125t4word766,s125t9word767)
edge(s125t5word13,V2)	+edge(s125t5word13,s125t0root)	-edge(s125t5word13,s125t1word764)	-edge(s125t5word13,s125t2word765)	-edge(s125t5word13,s125t3word17)	-edge(s125t5word13,s125t4word766)
edge(s125t6word29,V2)	-edge(s125t6word29,s125t3word17)	-edge(s125t6word29,s125t4word766)	-edge(s125t6word29,s125t5word13)	+edge(s125t6word29,s125t7word30)	-edge(s125t6word29,s125t8word538)	-edge(s125t6word29,s125t9word767)	-edge(s125t6word29,s125t10word516)	-edge(s125t6word29,s125t11word149)
edge(s125t7word30,V2)	-edge(s125t7word30,s125t4word766)	-edge(s125t7word30,s125t5word13)	-edge(s125t7word30,s125t6word29)	+edge(s125t7word30,s125t8word538)	-edge(s125t7word30,s125t9word767)	-edge(s125t7word30,s125t10word516)	-edge(s125t7word30,s125t11word149)	-edge(s125t7word30,s125t12word1)
edge(s125t8word538,V2)	-edge(s125t8word538,s125t1word764)	-edge(s125t8word538,s125t2word765)	-edge(s125t8word538,s125t3word17)	-edge(s125t8word538,s125t4word766)	+edge(s125t8word538,s125t5word13)	-edge(s125t8word538,s125t6word29)	-edge(s125t8word538,s125t7word30)	-edge(s125t8word538,s125t9word767)
edge(s125t9word767,V2)	-edge(s125t9word767,s125t6word29)	-edge(s125t9word767,s125t7word30)	-edge(s125t9word767,s125t8word538)	+edge(s125t9word767,s125t10word516)	-edge(s125t9word767,s125t11word149)	-edge(s125t9word767,s125t12word1)	-edge(s125t9word767,s125t13word533)	-edge(s125t9word767,s125t14word768)
edge(s125t10word516,V2)	-edge(s125t10word516,s125t4word766)	-edge(s125t10word516,s125t5word13)	-edge(s125t10word516,s125t6word29)	-edge(s125t10word516,s125t7word30)	+edge(s125t10word516,s125t8word538)	-edge(s125t10word516,s125t9word767)	-edge(s125t10word516,s125t11word149)	-edge(s125t10word516,s125t12word1)
edge(s125t11word149,V2)	-edge(s125t11word149,s125t4word766)	-edge(s125t11word149,s125t5word13)	-edge(s125t11word149,s125t6word29)	-edge(s125t11word149,s125t7word30)	+edge(s125t11word149,s125t8word538)	-edge(s125t11word149,s125t9word767)	-edge(s125t11word149,s125t10word516)	-edge(s125t11word149,s125t12word1)
edge(s125t12word1,V2)	-edge(s125t12word1,s125t9word767)	-edge(s125t12word1,s125t10word516)	-edge(s125t12word1,s125t11word149)	+edge(s125t12word1,s125t13word533)	-edge(s125t12word1,s125t14word768)	-edge(s125t12word1,s125t15word8)	-edge(s125t12word1,s125t16word43)
edge(s125t13word533,V2)	-edge(s125t13word533,s125t10word516)	-edge(s125t13word533,s125t11word149)	-edge(s125t13word533,s125t12word1)	+edge(s125t13word533,s125t14word768)	-edge(s125t13word533,s125t15word8)	-edge(s125t13word533,s125t16word43)
edge(s125t14word768,V2)	-edge(s125t14word768,s125t11word149)	-edge(s125t14word768,s125t12word1)	-edge(s125t14word768,s125t13word533)	+edge(s125t14word768,s125t15word8)	-edge(s125t14word768,s125t16word43)
edge(s125t15word8,V2)	-edge(s125t15word8,s125t7word30)	-edge(s125t15word8,s125t8word538)	-edge(s125t15word8,s125t9word767)	-edge(s125t15word8,s125t10word516)	+edge(s125t15word8,s125t11word149)	-edge(s125t15word8,s125t12word1)	-edge(s125t15word8,s125t13word533)	-edge(s125t15word8,s125t14word768)
edge(s125t16word43,V2)	-edge(s125t16word43,s125t11word149)	-edge(s125t16word43,s125t12word1)	-edge(s125t16word43,s125t13word533)	-edge(s125t16word43,s125t14word768)	+edge(s125t16word43,s125t15word8)
edge(s126t1word64,V2)	-edge(s126t1word64,s126t8word770)	-edge(s126t1word64,s126t9word43)	-edge(s126t1word64,s126t10word5)	-edge(s126t1word64,s126t11word771)	+edge(s126t1word64,s126t12word2)	-edge(s126t1word64,s126t13word174)	-edge(s126t1word64,s126t14word21)	-edge(s126t1word64,s126t15word159)	-edge(s126t1word64,s126t16word772)
edge(s126t2word43,V2)	-edge(s126t2word43,s126t1word64)	+edge(s126t2word43,s126t3word349)	-edge(s126t2word43,s126t4word26)	-edge(s126t2word43,s126t5word663)	-edge(s126t2word43,s126t6word769)	-edge(s126t2word43,s126t7word5)
edge(s126t3word349,V2)	+edge(s126t3word349,s126t1word64)	-edge(s126t3word349,s126t2word43)	-edge(s126t3word349,s126t4word26)	-edge(s126t3word349,s126t5word663)
edge(s126t4word26,V2)	-edge(s126t4word26,s126t1word64)	-edge(s126t4word26,s126t2word43)	-edge(s126t4word26,s126t3word349)	+edge(s126t4word26,s126t5word663)	-edge(s126t4word26,s126t6word769)	-edge(s126t4word26,s126t7word5)	-edge(s126t4word26,s126t8word770)	-edge(s126t4word26,s126t9word43)
edge(s126t5word663,V2)	-edge(s126t5word663,s126t2word43)	-edge(s126t5word663,s126t3word349)	-edge(s126t5word663,s126t4word26)	+edge(s126t5word663,s126t6word769)	-edge(s126t5word663,s126t7word5)	-edge(s126t5word663,s126t8word770)	-edge(s126t5word663,s126t9word43)	-edge(s126t5word663,s126t10word5)
edge(s126t6word769,V2)	-edge(s126t6word769,s126t3word349)	-edge(s126t6word769,s126t4word26)	-edge(s126t6word769,s126t5word663)	+edge(s126t6word769,s126t7word5)	-edge(s126t6word769,s126t8word770)	-edge(s126t6word769,s126t9word43)	-edge(s126t6word769,s126t10word5)	-edge(s126t6word769,s126t11word771)
edge(s126t7word5,V2)	-edge(s126t7word5,s126t4word26)	-edge(s126t7word5,s126t5word663)	-edge(s126t7word5,s126t6word769)	+edge(s126t7word5,s126t8word770)	-edge(s126t7word5,s126t9word43)	-edge(s126t7word5,s126t10word5)	-edge(s126t7word5,s126t11word771)	-edge(s126t7word5,s126t12word2)
edge(s126t8word770,V2)	-edge(s126t8word770,s126t1word64)	-edge(s126t8word770,s126t2word43)	+edge(s126t8word770,s126t3word349)	-edge(s126t8word770,s126t4word26)	-edge(s126t8word770,s126t5word663)	-edge(s126t8word770,s126t6word769)	-edge(s126t8word770,s126t7word5)
edge(s126t9word43,V2)	-edge(s126t9word43,s126t6word769)	-edge(s126t9word43,s126t7word5)	-edge(s126t9word43,s126t8word770)	+edge(s126t9word43,s126t10word5)	-edge(s126t9word43,s126t11word771)	-edge(s126t9word43,s126t12word2)	-edge(s126t9word43,s126t13word174)	-edge(s126t9word43,s126t14word21)
edge(s126t10word5,V2)	-edge(s126t10word5,s126t7word5)	-edge(s126t10word5,s126t8word770)	-edge(s126t10word5,s126t9word43)	+edge(s126t10word5,s126t11word771)	-edge(s126t10word5,s126t12word2)	-edge(s126t10word5,s126t13word174)	-edge(s126t10word5,s126t14word21)	-edge(s126t10word5,s126t15word159)
edge(s126t11word771,V2)	-edge(s126t11word771,s126t8word770)	-edge(s126t11word771,s126t9word43)	-edge(s126t11word771,s126t10word5)	+edge(s126t11word771,s126t12word2)	-edge(s126t11word771,s126t13word174)	-edge(s126t11word771,s126t14word21)	-edge(s126t11word771,s126t15word159)	-edge(s126t11word771,s126t16word772)
edge(s126t12word2,V2)	-edge(s126t12word2,s126t9word43)	-edge(s126t12word2,s126t10word5)	-edge(s126t12word2,s126t11word771)	+edge(s126t12word2,s126t13word174)	-edge(s126t12word2,s126t14word21)	-edge(s126t12word2,s126t15word159)	-edge(s126t12word2,s126t16word772)
edge(s126t13word174,V2)	-edge(s126t13word174,s126t10word5)	-edge(s126t13word174,s126t11word771)	-edge(s126t13word174,s126t12word2)	+edge(s126t13word174,s126t14word21)	-edge(s126t13word174,s126t15word159)	-edge(s126t13word174,s126t16word772)
edge(s126t14word21,V2)	-edge(s126t14word21,s126t11word771)	-edge(s126t14word21,s126t12word2)	-edge(s126t14word21,s126t13word174)	+edge(s126t14word21,s126t15word159)	-edge(s126t14word21,s126t16word772)
edge(s126t15word159,V2)	+edge(s126t15word159,s126t0root)	-edge(s126t15word159,s126t1word64)	-edge(s126t15word159,s126t2word43)	-edge(s126t15word159,s126t3word349)	-edge(s126t15word159,s126t4word26)
edge(s126t16word772,V2)	-edge(s126t16word772,s126t11word771)	-edge(s126t16word772,s126t12word2)	-edge(s126t16word772,s126t13word174)	-edge(s126t16word772,s126t14word21)	+edge(s126t16word772,s126t15word159)
edge(s127t1word64,V2)	-edge(s127t1word64,s127t11word5)	-edge(s127t1word64,s127t12word777)	-edge(s127t1word64,s127t13word99)	-edge(s127t1word64,s127t14word778)	+edge(s127t1word64,s127t15word586)	-edge(s127t1word64,s127t16word8)	-edge(s127t1word64,s127t17word234)	-edge(s127t1word64,s127t18word779)	-edge(s127t1word64,s127t19word29)
edge(s127t2word43,V2)	-edge(s127t2word43,s127t1word64)	+edge(s127t2word43,s127t3word773)	-edge(s127t2word43,s127t4word659)	-edge(s127t2word43,s127t5word774)	-edge(s127t2word43,s127t6word5)	-edge(s127t2word43,s127t7word12)
edge(s127t3word773,V2)	-edge(s127t3word773,s127t1word64)	-edge(s127t3word773,s127t2word43)	+edge(s127t3word773,s127t4word659)	-edge(s127t3word773,s127t5word774)	-edge(s127t3word773,s127t6word5)	-edge(s127t3word773,s127t7word12)	-edge(s127t3word773,s127t8word775)
edge(s127t4word659,V2)	-edge(s127t4word659,s127t1word64)	-edge(s127t4word659,s127t2word43)	-edge(s127t4word659,s127t3word773)	+edge(s127t4word659,s127t5word774)	-edge(s127t4word659,s127t6word5)	-edge(s127t4word659,s127t7word12)	-edge(s127t4word659,s127t8word775)	-edge(s127t4word659,s127t9word776)
edge(s127t5word774,V2)	-edge(s127t5word774,s127t2word43)	-edge(s127t5word774,s127t3word773)	-edge(s127t5word774,s127t4word659)	+edge(s127t5word774,s127t6word5)	-edge(s127t5word774,s127t7word12)	-edge(s127t5word774,s127t8word775)	-edge(s127t5word774,s127t9word776)	-edge(s127t5word774,s127t10word10)
edge(s127t6word5,V2)	-edge(s127t6word5,s127t3word773)	-edge(s127t6word5,s127t4word659)	-edge(s127t6word5,s127t5word774)	+edge(s127t6word5,s127t7word12)	-edge(s127t6word5,s127t8word775)	-edge(s127t6word5,s127t9word776)	-edge(s127t6word5,s127t10word10)	-edge(s127t6word5,s127t11word5)
edge(s127t7word12,V2)	-edge(s127t7word12,s127t4word659)	-edge(s127t7word12,s127t5word774)	-edge(s127t7word12,s127t6word5)	+edge(s127t7word12,s127t8word775)	-edge(s127t7word12,s127t9word776)	-edge(s127t7word12,s127t10word10)	-edge(s127t7word12,s127t11word5)	-edge(s127t7word12,s127t12word777)
edge(s127t8word775,V2)	+edge(s127t8word775,s127t1word64)	-edge(s127t8word775,s127t2word43)	-edge(s127t8word775,s127t3word773)	-edge(s127t8word775,s127t4word659)	-edge(s127t8word775,s127t5word774)
edge(s127t9word776,V2)	-edge(s127t9word776,s127t4word659)	-edge(s127t9word776,s127t5word774)	-edge(s127t9word776,s127t6word5)	-edge(s127t9word776,s127t7word12)	+edge(s127t9word776,s127t8word775)	-edge(s127t9word776,s127t10word10)	-edge(s127t9word776,s127t11word5)	-edge(s127t9word776,s127t12word777)
edge(s127t10word10,V2)	-edge(s127t10word10,s127t7word12)	-edge(s127t10word10,s127t8word775)	-edge(s127t10word10,s127t9word776)	+edge(s127t10word10,s127t11word5)	-edge(s127t10word10,s127t12word777)	-edge(s127t10word10,s127t13word99)	-edge(s127t10word10,s127t14word778)	-edge(s127t10word10,s127t15word586)
edge(s127t11word5,V2)	-edge(s127t11word5,s127t9word776)	-edge(s127t11word5,s127t10word10)	-edge(s127t11word5,s127t12word777)	+edge(s127t11word5,s127t13word99)	-edge(s127t11word5,s127t14word778)	-edge(s127t11word5,s127t15word586)	-edge(s127t11word5,s127t16word8)	-edge(s127t11word5,s127t17word234)
edge(s127t12word777,V2)	-edge(s127t12word777,s127t9word776)	-edge(s127t12word777,s127t10word10)	-edge(s127t12word777,s127t11word5)	+edge(s127t12word777,s127t13word99)	-edge(s127t12word777,s127t14word778)	-edge(s127t12word777,s127t15word586)	-edge(s127t12word777,s127t16word8)	-edge(s127t12word777,s127t17word234)
